Alabama,Montgomery
Alaska,Juneau
Arizona,Phoenix
Arkansas,Little Rock
California,Sacramento
Colorado,Denver
Connecticut,Hartford
Delaware,Dover
Florida,Tallahassee
Georgia,Atlanta
Hawaii,Honolulu
Idaho,Boise
Illinois,Springfield
Indiana,Indianapolis
Iowa,Des Moines
Kansas,Topeka
Kentucky,Frankfort
Louisiana,Baton Rouge
Maine,Augusta
Maryland,Annapolis
Massachusetts,Boston
Michigan,Lansing
Minnesota,Minneapolis
Mississippi,Jackson
Missouri,St. Louis
Montana,Helena
Nebraska,Lincoln
Nevada,Reno
New Hampshire,Concord
New Jersey,Trenton
New Mexico,Albuquerque
New York,Albany
North Carolina,Raliegh
North Dakota,Bismark
Ohio,Columbus
Oklahoma,Oklahoma City
Oregon,Salem
Pennsylvania,Harrisburg
Rhode Island,Providence
South Carolina,Columbia
South Dakota,Pierre
Tennessee,Nashville
Texas,Austin
Utah,Salt Lake City
Vermont,Montpelier
Virginia,Richmond
Washington,Olympia
West Virginia,Charleston
Wisconsin,Madison
Wyoming,Cheyenne
